,state,year,enroll,total_rev,fed_rev,st_rev,loc_rev,total_exp,instruction_exp,service_exp,other_exp,capital_exp,rev_per_student,exp_per_student,ins_exp_per_student
199,Virginia,1995,1060809.0,6354418,368088,2522258,3464072,6590998,3452911,1959389,337469.0,602745,5.990162225245072,6.213180695110996,3.2549789830214486
200,Washington,1995,938314.0,5985425,345792,4091373,1548260,6200754,3078586,1833862,265076.0,785601,6.378914734300031,6.608399746779862,3.2809763043075133
201,West Virginia,1995,310231.0,1916605,155738,1210730,550137,1925100,1104307,540560,128462.0,134365,6.177993172829279,6.205375994017361,3.5596281480574152
202,Wisconsin,1995,865374.0,6006745,248319,2621263,3137163,6056854,3425341,1767790,204052.0,426714,6.9412127010980225,6.999117144725864,3.958220376392173
203,Wyoming,1995,100314.0,634237,42456,303913,287868,642935,357039,198669,21975.0,48915,6.3225172956915285,6.409225033395139,3.559214067827023
204,Alabama,1996,735912.0,3365113,334858,2138717,891538,3572283,1987018,935115,322883.0,286699,4.57271113937536,4.854225776995076,2.7000755525117133
205,Alaska,1996,126189.0,1120346,123505,706116,290725,1240031,636959,365085,38996.0,179297,8.878317444468218,9.826775709451695,5.047658670724073
206,Arizona,1996,764681.0,4143304,378917,1798363,1966024,4391555,1860007,1193260,220650.0,877190,5.418343073778478,5.742989560352617,2.432395992577297
207,Arkansas,1996,452907.0,2183384,192152,1296247,694985,2297381,1264275,636106,127007.0,203555,4.820821934745985,5.072522615018094,2.791467122389365
208,California,1996,5460484.0,31282981,2603882,17061474,11617625,31561692,16880730,9222569,2362407.0,2580639,5.72897585635266,5.78001730249553,3.0914347519377405
209,Colorado,1996,655679.0,3891203,194998,1664676,2031529,4075165,2052264,1127563,143767.0,588209,5.934615871485895,6.21518303926159,3.1299828117112183
210,Connecticut,1996,499815.0,4686025,162218,1703171,2820636,4538234,2701637,1296119,149792.0,149327,9.375518942008544,9.07982753618839,5.405273951362004
211,Delaware,1996,108461.0,860410,48796,567123,244491,823530,447461,245924,34748.0,72077,7.932897539207642,7.592867482320834,4.125547431795761
212,District of Columbia,1996,79802.0,678874,57870,0,621004,703245,334893,312944,39956.0,15452,8.506979774942984,8.812373123480615,4.196548958672715
213,Florida,1996,2175352.0,13684457,942159,6671487,6070811,13936240,6380643,4230355,992115.0,2042385,6.290686288931631,6.4064298559497495,2.9331542665279
214,Georgia,1996,1311126.0,7764687,516518,4086584,3161585,7934236,4118122,2125775,509934.0,1042930,5.922151646752486,6.051467212151998,3.1409048405721496
215,Hawaii,1996,187104.0,1199019,91391,1079097,28531,1231550,671105,328131,103048.0,129266,6.4083023345305286,6.582168205917564,3.5868019924747734
216,Idaho,1996,243097.0,1134052,80486,718218,335348,1198223,642377,327291,47750.0,157468,4.665018490561381,4.928991307996396,2.6424719350711854
217,Illinois,1996,1924970.0,12732129,728400,4191483,7812246,12423100,6303563,3960659,474624.0,1112689,6.614196065393227,6.453659018062619,3.274629215000753
218,Indiana,1996,975455.0,6422662,306715,3298257,2817690,6644035,3293900,1847383,302283.0,616866,6.584272980301501,6.811216304186251,3.3767831422259356
219,Iowa,1996,502343.0,3258040,147878,1486426,1623736,3284185,1679091,931857,134624.0,242065,6.485688065724017,6.5377341776435625,3.342518956171381
220,Kansas,1996,463008.0,2914544,140242,1658774,1115528,3007653,1468081,906796,169091.0,318829,6.294802681595135,6.4958985589881815,3.1707465097795287
221,Kentucky,1996,639531.0,3622788,305059,2272684,1045045,3826435,1970377,1139539,228647.0,413638,5.664757455072546,5.983189243367405,3.0809718371744292
